time,brake,rpm,speed
56.235,0,0.807593405,0.588230241
56.247,0,0.806685827,0.589776632
56.259,0,0.806685827,0.587886598
56.271,0,0.808500983,0.589948454
56.283,0,0.808500983,0.590120275
56.295,0,0.809408561,0.59209622
56.307,0,0.809408561,0.592353952
56.321,0,0.808500983,0.592869416
56.331,0,0.808500983,0.594243986
56.345,0,0.809408561,0.595360825
56.356,0,0.809408561,0.594072165
56.368,0,0.809408561,0.595790378
56.38,0,0.812131296,0.59604811
56.392,0,0.812131296,0.598367698
56.404,0,0.812131296,0.598109966
56.416,0,0.812131296,0.597852234
56.428,0,0.81031614,0.601632302
56.441,0,0.81031614,0.600945017
56.453,0,0.812131296,0.599656357
56.464,0,0.812131296,0.602147766
56.476,0,0.814854031,0.602749141
56.488,0,0.814854031,0.60395189
56.501,0,0.815761609,0.603608247
56.513,0,0.815761609,0.604381443
56.525,0,0.813946453,0.607388316
56.537,0,0.813946453,0.606701031
56.549,0,0.814854031,0.606013746
56.561,0,0.814854031,0.607989691
56.573,0,0.816669188,0.607731959
56.585,0,0.816669188,0.609278351
56.597,0,0.818484344,0.609621993
56.609,0,0.818484344,0.6104811
56.621,0,0.818484344,0.614261168
56.633,0,0.818484344,0.611683849
56.645,0,0.819391923,0.611082474
56.658,0,0.819391923,0.614003436
56.67,0,0.818484344,0.614003436
56.682,0,0.818484344,0.615721649
56.694,0,0.820299501,0.615893471
56.706,0,0.820299501,0.615463918
56.718,0,0.820299501,0.61847079
56.731,0,0.820299501,0.618041237
56.742,0,0.821207079,0.617439863
56.754,0,0.821207079,0.619415808
56.766,0,0.82226592,0.618814433
56.779,0,0.82226592,0.621305842
56.79,0,0.82226592,0.621563574
56.802,0,0.82226592,0.621477663
56.814,0,0.824081077,0.62362543
56.826,0,0.824081077,0.624312715
56.839,0,0.824988655,0.623195876
56.851,0,0.824081077,0.625
56.863,0,0.824081077,0.624484536
56.875,0,0.826803812,0.627405498
56.887,0,0.826803812,0.62757732
56.899,0,0.827862653,0.627749141
56.911,0,0.827862653,0.628865979
56.923,0,0.826803812,0.629896907
56.935,0,0.826803812,0.629896907
56.947,0,0.828770231,0.630412371
56.96,0,0.828770231,0.630154639
56.971,0,0.82967781,0.632130584
56.984,0,0.82967781,0.633591065
56.995,0,0.827862653,0.635051546
57.007,0,0.827862653,0.633676976
57.019,0,0.830585388,0.635395189
57.032,0,0.830585388,0.635910653
57.044,0,0.832551808,0.635996564
57.055,0,0.832551808,0.637542955
57.068,0,0.832551808,0.638487973
57.08,0,0.832551808,0.638058419
57.092,0,0.831644229,0.640979381
57.104,0,0.831644229,0.640893471
57.116,0,0.832551808,0.639261168
57.129,0,0.832551808,0.641237113
57.14,0,0.831644229,0.640893471
57.152,0,0.831644229,0.643814433
57.164,0,0.833459386,0.643642612
57.176,0,0.833459386,0.643986254
57.189,0,0.834518227,0.645017182
57.2,0,0.834518227,0.645876289
57.213,0,0.836333384,0.645446735
57.225,0,0.836333384,0.646821306
57.238,0,0.836333384,0.646305842
57.249,0,0.836333384,0.647250859
57.261,0,0.836333384,0.64871134
57.273,0,0.836333384,0.650945017
57.285,0,0.837392225,0.650859107
57.297,0,0.837392225,0.650171821
57.309,0,0.837392225,0.651202749
57.321,0,0.837392225,0.65128866
57.334,0,0.840266223,0.653350515
57.345,0,0.839358645,0.65395189
57.358,0,0.839358645,0.655756014
57.37,0,0.840266223,0.655068729
57.382,0,0.840266223,0.655498282
57.394,0,0.840266223,0.656271478
57.406,0,0.840266223,0.657474227
57.419,0,0.842232643,0.657302405
57.43,0,0.842232643,0.657560137
57.442,0,0.842232643,0.659879725
57.454,0,0.842232643,0.660395189
57.468,0,0.842232643,0.661082474
57.478,0,0.842232643,0.660137457
57.49,0,0.843140221,0.660824742
57.502,0,0.843140221,0.661426117
57.514,0,0.842232643,0.662886598
57.526,0,0.842232643,0.663316151
57.539,0,0.843140221,0.666323024
57.551,0,0.843140221,0.665292096
57.563,0,0.844199062,0.6645189
57.575,0,0.844199062,0.666323024
57.587,0,0.84707306,0.666323024
57.599,0,0.84707306,0.668986254
57.611,0,0.84510664,0.668213058
57.623,0,0.84510664,0.669415808
57.635,0,0.84510664,0.669243986
57.648,0,0.84510664,0.669415808
57.659,0,0.848131901,0.671649485
57.671,0,0.848131901,0.671993127
57.683,0,0.848131901,0.672250859
57.696,0,0.848131901,0.673024055
57.708,0,0.848131901,0.674484536
57.721,0,0.848131901,0.67371134
57.732,0,0.850098321,0.675945017
57.744,0,0.850098321,0.675085911
57.756,0,0.850098321,0.674828179
57.768,0,0.850098321,0.676546392
57.78,0,0.851157162,0.67637457
57.792,0,0.851157162,0.677405498
57.804,0,0.851157162,0.679725086
57.816,0,0.851157162,0.679982818
57.829,0,0.852064741,0.678865979
57.841,0,0.855090002,0.679295533
57.852,0,0.855090002,0.679553265
57.865,0,0.854182423,0.681357388
57.877,0,0.854182423,0.682560137
57.889,0,0.856148843,0.685309278
57.901,0,0.856148843,0.683676976
57.913,0,0.857207684,0.682989691
57.925,0,0.857207684,0.684879725
57.937,0,0.857207684,0.684020619
57.949,0,0.857207684,0.687027491
57.961,0,0.857207684,0.686683849
57.973,0,0.857207684,0.689003436
57.985,0,0.857207684,0.688745704
57.997,0,0.857207684,0.687371134
58.009,0,0.858115262,0.689175258
